time_ms,command_angle,feedback_angle,current_mA
33142,20,21,116.80
33194,20,21,116.60
33246,20,21,117.10
33298,20,20,117.50
33349,20,21,117.40
33401,20,20,117.40
33453,20,21,116.80
33505,20,21,115.30
33556,20,20,113.90
33607,20,20,111.20
33658,20,21,120.80
33710,20,20,117.50
33762,20,21,117.10
33813,20,21,113.70
33864,20,21,109.90
33915,20,21,109.00
33967,20,21,109.30
34019,20,20,108.80
34070,20,21,109.20
34121,20,20,109.00
34172,20,20,109.50
34225,20,21,109.40
34277,20,20,109.40
34328,20,20,110.10
34379,90,20,506.50
34431,90,27,414.50
34482,90,42,471.30
34533,90,50,548.20
34584,90,62,543.60
34636,90,86,103.00
34688,90,78,116.60
34740,90,87,113.70
34792,90,87,146.70
34844,90,83,131.50
34896,90,78,125.10
34948,90,78,115.80
35000,90,87,114.60
35051,90,87,110.20
35102,90,88,130.50
35153,90,87,103.90
35204,90,88,109.90
35255,90,81,104.90
35306,90,89,108.20
35358,90,79,104.10
35410,90,88,101.30
35463,90,88,123.70
35515,90,88,83.30
35566,90,88,79.90
35617,90,88,79.10
35669,90,80,76.00
35720,90,79,107.50
35772,90,88,82.20
35823,90,80,87.00
35874,90,80,81.00
35925,90,88,82.40
35976,90,88,76.70
36027,90,88,77.60
36078,90,80,77.00
36129,90,88,76.40
36181,90,79,106.90
36233,90,81,80.90
36284,90,80,83.20
36335,90,88,78.80
36386,90,88,78.30
36437,90,88,76.20
36488,90,88,75.80
36539,90,87,75.90
36590,90,88,76.40
36641,90,88,76.30
36693,90,82,77.70
36744,90,88,85.30
36795,90,80,82.30
36846,90,88,86.30
36897,90,80,83.20
36949,90,80,82.90
37000,90,88,82.10
37051,90,88,80.20
37102,90,88,114.90
37154,90,88,87.00
37205,90,88,89.90
37256,90,88,82.40
37307,90,80,85.60
37358,90,82,80.10
37409,90,88,79.00
37461,90,88,78.00
37512,90,88,78.30
37563,90,80,78.20
37614,90,88,77.60
37665,90,89,81.50
37717,90,88,77.40
37768,90,88,92.20
37819,90,87,80.00
37870,90,88,80.70
37921,90,88,104.60
37973,90,88,81.10
38024,90,88,86.90
38075,90,88,86.80
38126,90,80,89.20
38177,90,80,84.40
38229,90,88,86.00
38280,90,87,85.30
38331,90,87,85.70
38382,90,88,85.50
38433,90,89,86.60
38485,90,88,86.30
38536,90,88,86.00
38587,90,88,84.90
38638,90,80,83.80
38689,90,89,82.40
38741,90,80,82.00
38792,90,88,80.50
38843,90,88,80.10
38894,90,86,81.70
38945,90,88,80.30
38997,90,88,80.40
39048,90,80,80.50
39099,90,87,79.90
39150,90,88,79.70
39201,90,80,79.90
39253,90,80,79.70
39304,90,88,79.60
39355,90,88,79.90
39406,90,88,80.00
39457,90,88,80.00
39509,90,88,80.00
39560,90,86,79.90
39611,90,88,79.90
39662,90,80,80.70
39713,90,80,82.10
39765,90,88,83.40
39816,90,88,90.80
39867,90,80,87.50
39918,90,88,87.10
39969,90,80,86.30
40021,90,88,84.60
40072,90,88,82.80
40123,90,88,80.60
40174,90,80,79.40
40225,90,88,79.70
40277,90,88,79.50
40328,90,80,79.90
40379,90,87,80.20
40430,90,88,80.00
40481,90,80,79.80
40533,90,80,80.00
40584,90,88,79.80
40635,90,88,80.10
40686,90,88,80.00
40737,90,88,88.30
40789,90,88,87.50
40840,90,87,85.00
40891,90,88,84.20
40942,90,89,85.60
40993,90,88,83.80
41045,90,88,85.70
41096,90,88,86.70
41147,90,80,87.20
41198,90,88,86.40
41249,90,88,83.80
41301,90,80,81.90
41352,90,80,81.20
41403,90,88,80.00
41454,90,88,79.40
41505,90,80,80.20
41557,90,87,79.60
41608,90,88,84.80
41659,90,87,87.50
41710,90,88,84.70
41761,90,88,88.00
41813,90,88,87.70
41864,90,88,86.80
41915,90,88,87.60
41966,90,82,84.50
42017,90,88,81.70
42069,90,88,79.90
42120,90,87,79.60
42171,90,88,79.70
42222,20,71,379.40
42274,20,52,426.60
42325,20,37,475.20
42376,20,24,493.80
42427,20,22,57.10
42478,20,20,124.90
42530,20,22,135.60
42581,20,22,142.00
42632,20,20,143.40
42683,20,20,135.10
42735,20,21,123.10
42787,20,21,123.30
42838,20,20,122.10
42889,20,20,122.20
42940,20,21,122.60
42991,20,21,123.00
43043,20,21,120.00
43094,20,20,120.20
43145,20,20,121.60
43196,20,20,122.50
43248,20,20,123.20
43300,20,21,125.30
43352,20,21,126.20
43404,20,20,125.50
43455,20,21,124.30
43506,20,22,121.60
43557,20,21,120.30
43609,20,21,118.20
43661,20,20,117.50
43713,20,21,117.70
43765,20,20,117.80
43816,20,21,117.80
43868,20,20,117.60
43920,20,20,117.90
43971,20,20,117.30
44022,20,21,119.40
44074,20,20,120.60
44126,20,20,123.30
44178,20,21,125.90
44230,20,21,129.50
44282,20,20,133.60
44333,20,21,130.70
44384,20,21,126.60
44435,20,20,121.80
44486,20,21,117.00
44538,20,21,69.50
44589,20,21,117.20
44640,20,20,117.80
44692,20,22,117.40
44744,20,20,117.20
44795,20,21,117.80
44846,20,20,119.80
44897,20,20,124.10
44949,20,21,125.70
45001,20,21,124.00
45052,20,21,119.40
45103,20,21,91.50
45154,20,20,129.60
45206,20,21,111.70
45257,20,21,123.30
45308,20,20,113.80
45361,20,21,93.40
45412,20,20,121.80
45464,20,21,111.60
45516,20,20,103.80
45568,20,20,124.80
45620,20,20,121.20
45671,20,20,115.50
45722,20,21,113.30
45773,20,20,112.90
45825,20,21,112.90
45877,20,20,112.50
45929,20,21,114.40
45980,20,20,118.90
46031,20,20,121.40
46082,20,21,121.30
46133,20,20,118.60
46185,20,20,115.80
46237,20,21,113.80
46289,20,20,113.40
46340,20,21,113.40
46391,20,20,113.40
46442,20,21,113.20
46494,20,21,113.30
46546,20,21,113.10
46599,20,20,114.80
46650,20,21,119.10
46701,20,20,121.10
46752,20,21,128.20
46805,20,20,128.60
46857,20,21,129.20
46908,20,20,127.20
46959,20,20,120.40
47010,20,21,114.30
47061,20,20,112.60
47112,20,20,112.50
47163,20,20,113.40
47214,20,20,120.30
47266,20,21,120.80
47318,20,20,115.10
47369,20,21,113.10
47420,20,20,73.30
47471,20,20,113.20
47523,20,21,118.40
47575,20,20,121.00
47626,20,21,118.70
47677,20,20,113.60
47728,20,20,113.10
47779,20,20,115.20
47831,20,21,115.40
47882,20,21,115.20
47934,20,21,121.90
47986,20,20,127.90
48038,20,21,123.00
48089,20,21,116.80
48141,20,21,117.20
48192,20,21,116.40
48244,20,21,117.50
48296,20,21,122.80
48348,20,20,128.00
48399,20,21,128.10
48450,20,20,124.60
48501,20,21,114.30
48554,20,20,117.50
48606,20,20,113.30
48657,20,20,91.10
48708,20,20,114.30
48760,20,20,124.60
48812,20,21,125.50
48864,20,21,96.00
48915,20,21,118.30
48967,20,20,113.70
49019,20,20,117.70
49070,20,20,113.30
49121,90,20,504.00
49172,90,27,443.10
49224,90,42,459.80
49275,90,50,540.20
49326,90,62,555.30
49377,90,78,114.40
49428,90,88,116.50
49479,90,78,134.60
49530,90,77,149.00
49582,90,87,121.40
49633,90,87,116.90
49684,90,88,137.40
49735,90,79,109.60
49786,90,88,108.00
49838,90,88,102.30
49889,90,87,102.10
49940,90,88,97.80
49991,90,88,98.30
50042,90,88,105.10
50094,90,88,104.70
50146,90,88,113.30
50198,90,86,87.00
50249,90,88,94.80
50300,90,87,89.20
50351,90,80,87.20
50402,90,87,87.00
50453,90,80,85.90
50504,90,88,116.80
50555,90,88,90.90
50606,90,81,98.30
50657,90,88,85.10
50708,90,83,86.90
50759,90,89,118.20
50811,90,81,76.40
50862,90,87,76.80
50913,90,88,76.50
50964,90,88,100.80
51016,90,88,77.80
51067,90,88,84.70
51118,90,88,85.40
51169,90,82,86.60
51220,90,88,85.50
51272,90,88,84.40
51323,90,88,102.60
51375,90,89,76.30
51426,90,82,97.10
51477,90,88,76.30
51528,90,80,76.20
51579,90,88,76.40
51630,90,88,76.30
51681,90,87,76.70
51732,90,88,79.90
51783,90,85,82.80
51834,90,88,82.80
51885,90,88,81.00
51936,90,88,87.30
51987,90,88,85.40
52038,90,88,85.10
52089,90,88,80.00
52140,90,88,77.20
52191,90,88,78.20
52242,90,87,76.30
52294,90,88,76.20
52345,90,88,101.10
52397,90,80,76.50
52448,90,88,80.10
52499,90,88,76.50
52551,90,88,76.40
52602,90,88,76.20
52653,90,88,76.40
52704,90,79,96.70
52755,90,81,76.80
52806,90,88,76.50
52857,90,88,77.50
52908,90,87,76.60
52959,90,88,76.40
53010,90,88,75.90
53061,90,84,76.30
53112,90,88,76.00
53163,90,88,76.10
53214,90,88,76.30
53265,90,88,76.30
53316,90,84,76.20
53367,90,88,92.70
53418,90,80,76.30
53469,90,88,76.40
53520,90,89,79.20
53571,90,88,79.30
53622,90,87,76.80
53674,90,82,77.80
53725,90,80,77.90
53776,90,88,75.90
53827,90,88,76.30
53878,90,88,75.90
53930,90,88,76.00
53981,90,84,76.40
54032,90,80,76.00
54083,90,88,76.20
54134,90,81,76.20
54186,90,80,76.20
54237,90,80,76.40
54288,90,88,76.30
54339,90,88,96.80
54390,90,88,76.00
54442,90,87,76.70
54493,90,88,81.90
54544,90,88,84.00
54595,90,80,82.40
54646,90,88,79.50
54698,90,81,80.30
54749,90,85,80.50
54800,90,88,93.60
54851,20,73,453.20
54902,20,58,362.40
54954,20,40,456.40
55005,20,26,475.40
55057,20,20,279.70
55109,20,22,113.50
55160,20,20,130.50
55211,20,20,112.60
55262,20,20,139.20
55313,20,21,126.60
55365,20,20,126.40
55417,20,21,126.40
55468,20,20,102.80
55519,20,21,121.90
55570,20,20,123.90
55622,20,20,123.50
55674,20,21,124.00
55726,20,21,125.40
55777,20,20,129.40
55828,20,20,126.40
55880,20,21,134.90
55932,20,20,137.60
55983,20,21,130.80
56034,20,21,126.90
56085,20,21,94.60
56136,20,20,116.80
56187,20,20,111.60
56239,20,20,117.30
56291,20,21,115.20
56343,20,20,117.20
56394,20,21,117.80
56445,20,20,120.90
56497,20,21,120.50
